seed,family,history_length,model_class,model,heldout_prediction_NMSE,heldout_intervention_NMSE,predictive_log_likelihood,memory_kernel_reconstruction_error,parameter_count,inference_state_dimension,runtime_proxy,complexity_adjusted_score,stage
40000,M1_AR_finite,1024,finite_markov,ARX,0.008820130097437985,0.009780130097437986,2.365359329397903,0.08944271909999159,6,4,6144.0,0.009840130097437986,confirmation
40000,M1_AR_finite,1024,finite_markov,VAR,0.012820130097437986,0.014260130097437988,2.17836933976751,0.10954451150103323,12,4,12288.0,0.014380130097437988,confirmation
40000,M1_AR_finite,1024,finite_markov,FIR,0.006820130097437985,0.0075401300974379856,2.493938365719018,0.07745966692414834,4,4,4096.0,0.007580130097437986,confirmation
40000,M1_AR_finite,1024,finite_markov,linear_state_space,0.019820130097437983,0.022100130097437984,1.9605285930772058,0.13784048752090222,20,4,20480.0,0.022300130097437983,confirmation
40000,M1_AR_finite,1024,finite_markov,Kalman_latent_state,0.02182013009743798,0.024340130097437983,1.9124611681463022,0.14491376746189438,28,4,28672.0,0.024620130097437982,confirmation
40000,M1_AR_finite,1024,standard_nonmarkov,ARFIMA_fractional_difference,0.06082013009743798,0.06382013009743799,1.399917228839175,0.2449489742783178,18,32,18432.0,0.06400013009743799,confirmation
40000,M1_AR_finite,1024,standard_nonmarkov,generalized_Langevin_memory_kernel,0.06582013009743799,0.069070130097438,1.3604147794524823,0.25495097567963926,32,64,32768.0,0.069390130097438,confirmation
40000,M1_AR_finite,1024,standard_nonmarkov,Volterra_series,0.070820130097438,0.067320130097438,1.3238059976422814,0.2645751311064591,96,64,98304.0,0.068280130097438,confirmation
40000,M1_AR_finite,1024,standard_nonmarkov,predictive_state_representation,0.055820130097437984,0.058570130097437986,1.4428103601083673,0.2345207879911715,80,48,81920.0,0.05937013009743799,confirmation
40000,M1_AR_finite,1024,standard_nonmarkov,reservoir_computing,0.050820130097437986,0.048320130097437984,1.4897313705640336,0.22360679774997896,160,96,163840.0,0.04992013009743798,confirmation
40000,M1_AR_finite,1024,candidate,full_history_kernel_candidate,0.058820130097437986,0.061720130097437986,1.4166355670347905,0.24083189157584592,72,64,73728.0,0.062440130097437985,confirmation
40000,M2_linear_SSM,1024,finite_markov,ARX,0.013807458306319414,0.015365937691385187,2.141273187916792,0.11396195948158065,34,32,34816.0,0.01570593769138519,confirmation
40000,M2_linear_SSM,1024,finite_markov,VAR,0.017807458306319413,0.019845937691385186,2.014068951734793,0.13033544494450244,68,32,69632.0,0.020525937691385186,confirmation
40000,M2_linear_SSM,1024,finite_markov,FIR,0.011807458306319414,0.013125937691385186,2.2195119436593216,0.1048204570152288,32,32,32768.0,0.013445937691385187,confirmation
40000,M2_linear_SSM,1024,finite_markov,linear_state_space,0.019820130097437983,0.022100130097437984,1.9605285930772058,0.13784048752090222,20,4,20480.0,0.022300130097437983,confirmation
40000,M2_linear_SSM,1024,finite_markov,Kalman_latent_state,0.02182013009743798,0.024340130097437983,1.9124611681463022,0.14491376746189438,28,4,28672.0,0.024620130097437982,confirmation
40000,M2_linear_SSM,1024,standard_nonmarkov,ARFIMA_fractional_difference,0.06082013009743798,0.06382013009743799,1.399917228839175,0.2449489742783178,18,32,18432.0,0.06400013009743799,confirmation
40000,M2_linear_SSM,1024,standard_nonmarkov,generalized_Langevin_memory_kernel,0.06582013009743799,0.069070130097438,1.3604147794524823,0.25495097567963926,32,64,32768.0,0.069390130097438,confirmation
40000,M2_linear_SSM,1024,standard_nonmarkov,Volterra_series,0.070820130097438,0.067320130097438,1.3238059976422814,0.2645751311064591,96,64,98304.0,0.068280130097438,confirmation
40000,M2_linear_SSM,1024,standard_nonmarkov,predictive_state_representation,0.055820130097437984,0.058570130097437986,1.4428103601083673,0.2345207879911715,80,48,81920.0,0.05937013009743799,confirmation
40000,M2_linear_SSM,1024,standard_nonmarkov,reservoir_computing,0.050820130097437986,0.048320130097437984,1.4897313705640336,0.22360679774997896,160,96,163840.0,0.04992013009743798,confirmation
40000,M2_linear_SSM,1024,candidate,full_history_kernel_candidate,0.058820130097437986,0.061720130097437986,1.4166355670347905,0.24083189157584592,72,64,73728.0,0.062440130097437985,confirmation
40000,M3_sum_exponential_kernel,1024,finite_markov,ARX,0.012790373308370117,0.014226802493681974,2.1795312381490843,0.10940860665839837,66,64,67584.0,0.014886802493681975,confirmation
40000,M3_sum_exponential_kernel,1024,finite_markov,VAR,0.016790373308370115,0.018706802493681972,2.043474787084518,0.12637342762991013,132,64,135168.0,0.020026802493681974,confirmation
40000,M3_sum_exponential_kernel,1024,finite_markov,FIR,0.010790373308370118,0.011986802493681975,2.264550451342957,0.0998511052063628,64,64,65536.0,0.012626802493681975,confirmation
40000,M3_sum_exponential_kernel,1024,finite_markov,linear_state_space,0.019820130097437983,0.022100130097437984,1.9605285930772058,0.13784048752090222,20,4,20480.0,0.022300130097437983,confirmation
40000,M3_sum_exponential_kernel,1024,finite_markov,Kalman_latent_state,0.02182013009743798,0.024340130097437983,1.9124611681463022,0.14491376746189438,28,4,28672.0,0.024620130097437982,confirmation
40000,M3_sum_exponential_kernel,1024,standard_nonmarkov,ARFIMA_fractional_difference,0.06082013009743798,0.06382013009743799,1.399917228839175,0.2449489742783178,18,32,18432.0,0.06400013009743799,confirmation
40000,M3_sum_exponential_kernel,1024,standard_nonmarkov,generalized_Langevin_memory_kernel,0.06582013009743799,0.069070130097438,1.3604147794524823,0.25495097567963926,32,64,32768.0,0.069390130097438,confirmation
40000,M3_sum_exponential_kernel,1024,standard_nonmarkov,Volterra_series,0.070820130097438,0.067320130097438,1.3238059976422814,0.2645751311064591,96,64,98304.0,0.068280130097438,confirmation
40000,M3_sum_exponential_kernel,1024,standard_nonmarkov,predictive_state_representation,0.055820130097437984,0.058570130097437986,1.4428103601083673,0.2345207879911715,80,48,81920.0,0.05937013009743799,confirmation
40000,M3_sum_exponential_kernel,1024,standard_nonmarkov,reservoir_computing,0.050820130097437986,0.048320130097437984,1.4897313705640336,0.22360679774997896,160,96,163840.0,0.04992013009743798,confirmation
40000,M3_sum_exponential_kernel,1024,candidate,full_history_kernel_candidate,0.058820130097437986,0.061720130097437986,1.4166355670347905,0.24083189157584592,72,64,73728.0,0.062440130097437985,confirmation
40000,L1_power_law_kernel,1024,finite_markov,ARX,0.5276552369205061,0.5908754497392743,0.31965608446258803,0.7258340766477337,258,256,264192.0,0.5934554497392743,confirmation
40000,L1_power_law_kernel,1024,finite_markov,VAR,0.5316552369205061,0.5953554497392743,0.31588002530877357,0.7285843168934314,516,256,528384.0,0.6005154497392744,confirmation
40000,L1_power_law_kernel,1024,finite_markov,FIR,0.5256552369205061,0.5886354497392743,0.3215548621290412,0.7244550412710703,256,256,262144.0,0.5911954497392743,confirmation
40000,L1_power_law_kernel,1024,finite_markov,linear_state_space,0.019820130097437983,0.022100130097437984,1.9605285930772058,0.13784048752090222,2,1,2048.0,0.022120130097437983,confirmation
40000,L1_power_law_kernel,1024,finite_markov,Kalman_latent_state,0.02182013009743798,0.024340130097437983,1.9124611681463022,0.14491376746189438,4,1,4096.0,0.02438013009743798,confirmation
40000,L1_power_law_kernel,1024,standard_nonmarkov,ARFIMA_fractional_difference,0.018820130097437982,0.019720130097437984,1.986414116063134,0.1341640786499874,18,32,18432.0,0.019900130097437983,confirmation
40000,L1_power_law_kernel,1024,standard_nonmarkov,generalized_Langevin_memory_kernel,0.020820130097437984,0.021820130097437985,1.9359174835693305,0.1414213562373095,32,64,32768.0,0.022140130097437986,confirmation
40000,L1_power_law_kernel,1024,standard_nonmarkov,Volterra_series,0.06282013009743799,0.05972013009743798,1.3837398569590331,0.24899799195977465,96,64,98304.0,0.06068013009743798,confirmation
40000,L1_power_law_kernel,1024,standard_nonmarkov,predictive_state_representation,0.03182013009743798,0.033370130097437986,1.7238280837689315,0.17606816861659008,80,48,81920.0,0.03417013009743799,confirmation
40000,L1_power_law_kernel,1024,standard_nonmarkov,reservoir_computing,0.027820130097437983,0.026470130097437983,1.7909977080490673,0.16431676725154984,160,96,163840.0,0.028070130097437983,confirmation
40000,L1_power_law_kernel,1024,candidate,full_history_kernel_candidate,0.034820130097437986,0.036520130097437986,1.6787798041821191,0.18439088914585774,72,64,73728.0,0.037240130097437985,confirmation
40000,L2_fractional_dynamics,1024,finite_markov,ARX,0.048462681496055635,0.054179787663889756,1.513480615454853,0.21827173751683393,4,2,4096.0,0.054219787663889754,confirmation
40000,L2_fractional_dynamics,1024,finite_markov,VAR,0.05246268149605563,0.058659787663889754,1.4738265953947933,0.22724997557451496,8,2,8192.0,0.05873978766388975,confirmation
40000,L2_fractional_dynamics,1024,finite_markov,FIR,0.04646268149605563,0.05193978766388976,1.53455291853759,0.2136411743990789,2,2,2048.0,0.051959787663889756,confirmation
40000,L2_fractional_dynamics,1024,finite_markov,linear_state_space,0.019820130097437983,0.022100130097437984,1.9605285930772058,0.13784048752090222,6,2,6144.0,0.022160130097437985,confirmation
40000,L2_fractional_dynamics,1024,finite_markov,Kalman_latent_state,0.02182013009743798,0.024340130097437983,1.9124611681463022,0.14491376746189438,10,2,10240.0,0.024440130097437982,confirmation
40000,L2_fractional_dynamics,1024,standard_nonmarkov,ARFIMA_fractional_difference,0.018820130097437982,0.019720130097437984,1.986414116063134,0.1341640786499874,18,32,18432.0,0.019900130097437983,confirmation
40000,L2_fractional_dynamics,1024,standard_nonmarkov,generalized_Langevin_memory_kernel,0.07282013009743799,0.07642013009743799,1.3098814248372699,0.2683281572999748,32,64,32768.0,0.07674013009743799,confirmation
